/p,1,0.003,0.005,0.01,0.025,0.05,0.1,0.15,0.2,0.25,0.3,0.35,0.4,0.45,0.5,0.55,0.6,0.65,0.7,0.75,0.8,0.85,0.9,0.95,0.975,0.99,0.995,0.998,0.999
23,49.728,46.623,44.181,41.638,38.076,35.173,32.007,29.979,28.429,27.141,26.018,25.006,24.069,23.185,22.337,21.51,20.69,19.866,19.021,18.137,17.187,16.122,14.848,13.091,11.689,10.196,9.26,8.45,7.529
24,51.179,48.034,45.558,42.98,39.364,36.415,33.196,31.133,29.553,28.241,27.096,26.063,25.106,24.204,23.337,22.491,21.653,20.808,19.943,19.037,18.062,16.969,15.659,13.848,12.401,10.856,9.886,9.044,8.085
25,52.619,49.435,46.928,44.314,40.647,37.653,34.382,32.283,30.675,29.339,28.172,27.118,26.143,25.222,24.337,23.472,22.616,21.752,20.867,19.939,18.94,17.818,16.473,14.611,13.12,11.524,10.52,9.646,8.649
26,54.051,50.829,48.29,45.642,41.923,38.885,35.563,33.43,31.795,30.435,29.246,28.173,27.179,26.24,25.337,24.454,23.579,22.698,21.792,20.843,19.82,18.671,17.292,15.379,13.844,12.198,11.16,10.256,9.222
27,55.475,52.215,49.645,46.963,43.195,40.113,36.741,34.574,32.912,31.528,30.319,29.227,28.214,27.257,26.336,25.437,24.544,23.644,22.719,21.749,20.703,19.527,18.114,16.151,14.573,12.879,11.808,10.873,9.803
28,56.892,53.594,50.994,48.278,44.461,41.337,37.916,35.715,34.027,32.621,31.391,30.279,29.249,28.274,27.336,26.42,25.509,24.591,23.648,22.657,21.588,20.386,18.939,16.928,15.308,13.565,12.461,11.497,10.391
29,58.301,54.966,52.336,49.588,45.722,42.557,39.088,36.854,35.139,33.711,32.461,31.331,30.283,29.291,28.336,27.403,26.475,25.539,24.577,23.567,22.475,21.247,19.768,17.708,16.047,14.256,13.121,12.128,10.986
30,59.702,56.333,53.672,50.892,46.979,43.773,40.256,37.99,36.25,34.8,33.53,32.382,31.316,30.307,29.336,28.386,27.442,26.488,25.508,24.478,23.364,22.11,20.599,18.493,16.791,14.954,13.787,12.765,11.588
31,61.098,57.692,55.003,52.191,48.232,44.985,41.422,39.124,37.359,35.887,34.598,33.431,32.349,31.324,30.336,29.369,28.409,27.438,26.44,25.39,24.255,22.976,21.434,19.281,17.539,15.656,14.458,13.407,12.196
32,62.487,59.046,56.328,53.486,49.48,46.194,42.585,40.256,38.466,36.973,35.665,34.48,33.381,32.339,31.336,30.353,29.376,28.389,27.373,26.304,25.148,23.844,22.271,20.072,18.291,16.362,15.134,14.056,12.81
